date,Close
1927-12-30,17.65999984741211
1928-01-03,17.760000228881836
1928-01-04,17.719999313354492
1928-01-05,17.549999237060547
1928-01-06,17.65999984741211
1928-01-09,17.5
1928-01-10,17.3700008392334
1928-01-11,17.350000381469727
1928-01-12,17.469999313354492
1928-01-13,17.579999923706055
1928-01-16,17.290000915527344
1928-01-17,17.299999237060547
1928-01-18,17.260000228881836
1928-01-19,17.3799991607666
1928-01-20,17.479999542236328
1928-01-23,17.639999389648438
1928-01-24,17.709999084472656
1928-01-25,17.520000457763672
1928-01-26,17.6299991607666
1928-01-27,17.690000534057617
1928-01-30,17.489999771118164
1928-01-31,17.56999969482422
1928-02-01,17.530000686645508
1928-02-02,17.6299991607666
1928-02-03,17.399999618530273
1928-02-06,17.450000762939453
1928-02-07,17.440000534057617
1928-02-08,17.489999771118164
1928-02-09,17.549999237060547
1928-02-10,17.540000915527344
1928-02-14,17.440000534057617
1928-02-15,17.399999618530273
1928-02-16,17.350000381469727
1928-02-17,17.040000915527344
1928-02-20,16.950000762939453
1928-02-21,17.110000610351562
1928-02-23,17.1299991607666
1928-02-24,17.18000030517578
1928-02-27,17.110000610351562
1928-02-28,17.15999984741211
1928-02-29,17.260000228881836
1928-03-01,17.299999237060547
1928-03-02,17.299999237060547
1928-03-05,17.56999969482422
1928-03-06,17.670000076293945
1928-03-07,17.579999923706055
1928-03-08,17.639999389648438
1928-03-09,17.93000030517578
1928-03-12,18.0
1928-03-13,17.920000076293945
1928-03-14,17.93000030517578
1928-03-15,18.06999969482422
1928-03-16,18.260000228881836
1928-03-19,18.360000610351562
1928-03-20,18.459999084472656
1928-03-21,18.649999618530273
1928-03-22,18.600000381469727
1928-03-23,18.780000686645508
1928-03-26,19.049999237060547
1928-03-27,18.940000534057617
1928-03-28,18.889999389648438
1928-03-29,18.950000762939453
1928-03-30,19.280000686645508
1928-04-02,18.90999984741211
1928-04-03,19.020000457763672
1928-04-04,18.989999771118164
1928-04-05,19.229999542236328
1928-04-09,19.270000457763672
1928-04-10,19.100000381469727
1928-04-11,19.440000534057617
1928-04-12,19.40999984741211
1928-04-13,19.729999542236328
1928-04-16,19.68000030517578
1928-04-17,19.520000457763672
1928-04-18,19.520000457763672
1928-04-19,19.6299991607666
1928-04-20,19.34000015258789
1928-04-23,19.149999618530273
1928-04-24,19.25
1928-04-25,19.329999923706055
1928-04-26,19.469999313354492
1928-04-27,19.68000030517578
1928-04-30,19.75
1928-05-01,19.780000686645508
1928-05-02,19.829999923706055
1928-05-03,19.93000030517578
1928-05-04,20.239999771118164
1928-05-07,20.40999984741211
1928-05-08,20.270000457763672
1928-05-09,20.239999771118164
1928-05-10,20.209999084472656
1928-05-11,20.360000610351562
1928-05-14,20.440000534057617
1928-05-15,20.389999389648438
1928-05-16,20.049999237060547
1928-05-17,20.1200008392334
1928-05-18,19.920000076293945
1928-05-21,19.6299991607666
1928-05-22,19.360000610351562
1928-05-23,19.75
1928-05-24,19.8700008392334
1928-05-25,19.899999618530273
1928-05-28,19.56999969482422
1928-05-29,19.81999969482422
1928-05-31,20.0
1928-06-01,20.06999969482422
1928-06-04,19.799999237060547
1928-06-05,19.850000381469727
1928-06-06,19.65999984741211
1928-06-07,19.610000610351562
1928-06-08,19.3700008392334
1928-06-11,18.68000030517578
1928-06-12,18.34000015258789
1928-06-13,18.889999389648438
1928-06-14,19.049999237060547
1928-06-15,18.739999771118164
1928-06-18,18.399999618530273
1928-06-19,18.34000015258789
1928-06-20,18.56999969482422
1928-06-21,18.559999465942383
1928-06-22,18.540000915527344
1928-06-25,18.469999313354492
1928-06-26,18.68000030517578
